,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA
AET,0.956777869686349,0.885060332020081,0.9376413953885783,0.9607573598939175,0.959228802763375,0.9375551461131911,0.960628386704632,0.7000454536696419,0.34830897714750986,-0.23345994209600474,1.0,-0.05519895606337073,0.8991954796828683,0.883659263586056,0.8959278830752863,0.33664725580940014,0.8511709926034627,0.7559485690770184,0.9471784238022429,0.07881306014056165,0.8794357916061584,0.9485992513013768,0.48176364159918567,0.2458259252303819,0.9291477164483115,0.9506916699676033,0.9274730621988044,0.8864217044825148,0.9113540263883411,0.9220968828700199,0.9357492668594923,0.24293789192387638,0.9393567477088365,0.29076820340358334,0.8737760036374754,0.9349142522653245,0.9241682695424421,0.78261908291527,0.6620887026590679,0.8192194505801462,0.9078529754801411,0.963573228717713,-0.7136312088199644,0.9398747808766469,0.7271552474558178,0.8824323268680379,0.9726543838095894,0.962926118012145,0.9573673001700245,-0.7647409211568571
AMG,-0.07808499579747383,0.28458433930347293,0.12441838822228916,-0.25066185186356144,-0.23677070515504256,-0.24104089461930955,-0.11229339045517443,-0.2229184567678702,0.01713027285288391,0.5671485204060869,-0.05519895606337073,1.0,-0.058029396964717914,0.02474582370973521,0.110936876574929,0.4455483309877841,-0.16331007181492885,-0.16120497216043436,-0.1728072737548745,0.5741661832222744,-0.046099709605763754,-0.3858662159778889,0.2534106695101037,0.6985849126177437,-0.2356215617204848,0.021954601656826507,-0.23062012247158045,-0.4758728334550603,-0.30524721640791436,-0.3072228329434034,-0.23126053270319294,0.20066303975666272,-0.2138329239858633,0.6894709878108706,0.03795496033966169,-0.11643376736081196,-0.31436676070165476,0.4764602110209465,0.29239600379158553,0.34731640596266466,0.022255783854922176,-0.031060798077928907,0.5301501085917913,-0.057653208326053466,0.8082531411407174,-0.01852557524509781,0.10388644523116938,-0.018130264023300594,-0.20860740206853914,0.2984622357140432
AFL,0.9299961346972401,0.7674421617561591,0.8834538599502515,0.9079087920314376,0.9143187780333443,0.9310503687662176,0.943954163109423,0.8249857069208288,0.12523603852445656,-0.030870338795375634,0.8991954796828683,-0.058029396964717914,1.0,0.9524411760090665,0.7925585051076883,0.1403439614729,0.6856358453858119,0.8934129916792427,0.8929459776181431,-0.11466187673954836,0.928194344629083,0.8990467318242523,0.22411580299803024,0.12239514918028986,0.9173094330246345,0.916076358659495,0.9175980871940533,0.9108325609766362,0.8204289331373436,0.930857042116873,0.9264473954057847,0.24447940549090233,0.8836734765004791,0.3869960070037111,0.7825048550274273,0.9191344378685599,0.90575198501777,0.7443662349915151,0.40699321910802977,0.7914957476173073,0.7879282071295077,0.9359908643537891,-0.6238451476305115,0.9175953217731456,0.848104728886094,0.8908548867815901,0.8421136791859306,0.946889714204058,0.9423260016534324,-0.5378961314287398
A,0.9292408805209833,0.8195723517135852,0.9016076612872839,0.8614008427694317,0.8716744425160922,0.9211553149464047,0.9534864224266133,0.8519735444237396,0.0326112924248501,0.0005964120933717172,0.883659263586056,0.02474582370973521,0.9524411760090665,1.0,0.7618065779985802,0.10888651812414664,0.6461371616176725,0.9265643514558345,0.8796219966865154,-0.06294153301431372,0.9581899374447672,0.855190519194942,0.20826662128925863,0.17193622489864946,0.8899828472649584,0.9438789218621696,0.8970228294707047,0.8722332409488407,0.7702467516156277,0.8895587225256888,0.9095665453177512,0.25861271473298775,0.8697618017576607,0.516383168322396,0.7405394055338658,0.9397483296198229,0.8589774234718064,0.8216396914059232,0.39296071196395,0.8655970047379865,0.7698741447533893,0.9437540888654377,-0.5645518099843622,0.9254632326149551,0.7972142870013753,0.9148829867102327,0.8631100925468458,0.9410405499275805,0.9007191120975404,-0.49984247956028
APD,0.9061602404293049,0.8490702100876025,0.8790546136222498,0.8221402887747654,0.8335292036615075,0.7746997342751745,0.8288807519039166,0.5066499095721168,0.5868281150728,-0.05657363492317495,0.8959278830752863,0.110936876574929,0.7925585051076883,0.7618065779985802,1.0,0.5594156834024951,0.8383802071808706,0.5518400516011045,0.8687016861655853,0.36143018623109685,0.697169405887592,0.8243886036536189,0.6764780101277805,0.46017814852060546,0.8611058463736466,0.8697593373265947,0.8093229378430604,0.674755532036083,0.8601337316826417,0.7544583571714194,0.8450352906879494,0.1729067596213631,0.8773915845911164,0.32005770505812486,0.8735745640352455,0.8319810015541342,0.8394285170995194,0.7959739735479499,0.7901851597401873,0.730106429648433,0.9373442971818312,0.8792957193985779,-0.5329653559097515,0.8084601100873371,0.8261051162462728,0.6740835027841159,0.8993332658472634,0.8950943308289879,0.8419806991014805,-0.6386344187216861
AKAM,0.28445440585919907,0.42418896759196983,0.332430587490914,0.19103330279541136,0.20401157873431502,0.0793703720026456,0.18227873293420457,-0.04618257043014034,0.7316452597555126,0.18010428008982346,0.33664725580940014,0.4455483309877841,0.1403439614729,0.10888651812414664,0.5594156834024951,1.0,0.4870305151852092,-0.1187467809426031,0.2846332216563437,0.6591758042561238,0.016680620281563713,-0.1582984392069417,0.7061801136127887,0.7257362947615555,0.17656610909991913,0.2672238653086037,0.16041785110241394,-0.4706864410749645,0.300228189810325,0.0878972789139883,0.16822985117714853,0.08816684755234501,0.2039660876850593,0.29203166319540413,0.5451468714541672,0.1494334707393225,0.15126092886534087,0.4839306383968511,0.7259531623812857,0.2963178531802451,0.4565469066923829,0.2930123503529592,0.12964916725396106,0.27289738852867196,0.8118066030728476,0.044414917294769374,0.41852329932517135,0.2855203039636184,0.21284406138413847,-0.20189357584879405
ALK,0.844913191705749,0.7086765629861926,0.7195619856485385,0.8166618366554673,0.8302235288846886,0.7815646699111833,0.7851236560093922,0.5754185820743659,0.6546775328860703,-0.3151961885195936,0.8511709926034627,-0.16331007181492885,0.6856358453858119,0.6461371616176725,0.8383802071808706,0.4870305151852092,1.0,0.48640634319794745,0.8422466429371168,0.2476077296427988,0.5834197772804947,0.7655445602070015,0.6758609180105363,0.3541947029358831,0.8103088710305048,0.783369729906574,0.8299563554921798,0.6780893011127238,0.9223046909493262,0.7879004424147878,0.8165646840947441,0.1913299061503549,0.8303896527579194,0.09817939035510774,0.902669224727132,0.7497124920580006,0.8092140072523962,0.6188588719696198,0.7668658585565757,0.6053304263432324,0.874383519370858,0.8055683491937473,-0.6631093027792683,0.8063343876136496,-0.48795304951183543,0.6142601371559763,0.8371946373966157,0.8217776286657253,0.8441624043307568,-0.7587095036654704
ALB,0.7935896233930889,0.6286912127994463,0.7624528492873427,0.7919543155484838,0.8038484901734967,0.8618085847722653,0.8687646762577177,0.9240833371506969,-0.19831039431556435,-0.016206279215628193,0.7559485690770184,-0.16120497216043436,0.8934129916792427,0.9265643514558345,0.5518400516011045,-0.1187467809426031,0.48640634319794745,1.0,0.8009000757963216,-0.3802535299047991,0.926002561074907,0.8310978144282969,-0.11405449441653272,-0.1302409323179871,0.8211528366177011,0.83644706025753,0.8058251206345809,0.8729116129957365,0.6710904705290801,0.8499177152582238,0.8437033128713918,0.2829481911903401,0.7740265175230955,0.4050119999781424,0.567084135608512,0.8582544214984857,0.8018977192085399,0.6312861905179823,0.09491074057781816,0.7023422582602034,0.5709026040916659,0.847665904477269,-0.5182696177114122,0.8666822149869345,0.7083143283841697,0.8668965678910139,0.7002178450243393,0.8243912086929787,0.8279490783002881,-0.3750454847919165
ARE,0.9523085639240406,0.8241979020419732,0.8863782094865145,0.9471030175538011,0.9521281755487482,0.9314341526214398,0.9434082758895959,0.7830910043246132,0.33217178490586813,-0.20383879140369215,0.9471784238022429,-0.1728072737548745,0.8929459776181431,0.8796219966865154,0.8687016861655853,0.2846332216563437,0.8422466429371168,0.8009000757963216,1.0,-0.015907324085524508,0.8522957108250995,0.9434247264857214,0.3833897746659439,0.14635149084767834,0.9590437979410262,0.9463777042225735,0.9093351581860047,0.8821207935460392,0.9350596103260563,0.9284585992660163,0.956570726726335,0.2468066185345301,0.953279022337157,0.23904141764285963,0.8342258020701558,0.9535983048462878,0.9481054657205179,0.725019695384457,0.5754424638789972,0.7207748133605434,0.8880470189403649,0.9629087327738248,-0.6812054914911909,0.9446038860247081,0.7169106544980924,0.8353455735440901,0.9066148613061098,0.9467474889730526,0.9632165289731771,-0.7045475001021906
ALXN,0.11909656707462477,0.32457737722028734,0.1690225888246588,-0.09809668698724575,-0.07473693358272476,-0.12013046620245132,-0.03791227489666876,-0.3654000585244586,0.6145587475362444,0.17155744329106135,0.07881306014056165,0.5741661832222744,-0.11466187673954836,-0.06294153301431372,0.36143018623109685,0.6591758042561238,0.2476077296427988,-0.3802535299047991,-0.015907324085524508,1.0,-0.18085462625214258,-0.5432967003051206,0.7823140712457309,0.8223426107477014,-0.05590835332324129,0.044735286433214436,-0.031504399209508975,-0.7577155669833376,0.01544086525656113,-0.1899488918954435,-0.06232576367632514,-0.09414964025520135,0.0167782062810632,0.3188341227568784,0.290412965370246,-0.02308580485053256,-0.10091819300443305,0.36245272614907964,0.6304812143783008,0.23558412302111376,0.32889560229594356,0.02236370418394543,0.16695450730154704,-0.06229216295120451,-0.4997990115597826,-0.1746359512434108,0.1915976291420187,0.07724616437459156,-0.07931631895195203,-0.10519263914394524
ALGN,0.8976036111604528,0.7991683859576608,0.8970875046956459,0.8843867758842521,0.8809844180845418,0.9175402201253653,0.9495126168255137,0.8077217889399798,-0.06642063554139849,-0.1312252891746372,0.8794357916061584,-0.046099709605763754,0.928194344629083,0.9581899374447672,0.697169405887592,0.016680620281563713,0.5834197772804947,0.926002561074907,0.8522957108250995,-0.18085462625214258,1.0,0.8532994232706992,0.09686016496036924,0.04225927415572258,0.8624525881555606,0.9186980710786181,0.8830640913636731,0.8933055790424131,0.7298873133519307,0.8972128843917738,0.8908777017532351,0.3053844532992896,0.8485309089766241,0.4516297319642958,0.6675399792672092,0.9190424494641363,0.8464002357575539,0.7626234617129173,0.3115392055278324,0.8497798582241342,0.7074456650241093,0.9196988256837162,-0.6228599718052645,0.9020103590639008,0.672461646135757,0.9621537224083612,0.8463448250448186,0.8941549919966445,0.8830647392385528,-0.5606822701534153
