Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AAL_1d,AAL_2d,AAL_3d,AAL_4d,AAL_5d,AAL_6d,AAL_7d
2014-10-24,137.70238443997,39.634235103847,54.138214195743,24.18,73.700431838475,18.710770598780663,67.01,2.68,141.33814936943998,12.190439777536,76.307044399564,191.12098547021,54.394767392711,37.889180071673,121.54765585790001,55.28,48.024889786386005,54.266989613369,74.752755560173,190.29,51.5,48.080927127940996,238.04184521264,270.97897061,27.090572665036,59.229002036303996,548.9,539.78,42.357663910244,287.06,36.672047910272,38.692149519682005,50.245963371116,82.293499708008,49.43564287526901,90.745806239979,48.364943327153995,108.4509773469,74.510119243533,50.227579994799996,137.21976777577,47.472710116613996,88.671552151415,43.370771892392995,0.0,75.37,114.25363555443,79.264653762817,24.624843121551,72.29475346326494,0.002260170768452923,0.010547463586131331,0.0030135610246124667,0.014565544952272962,0.04099963483316008,0.05736359523561663,0.0749863218228834
2014-10-27,138.60130975733,39.428876372739,54.317806878429,24.55,74.330671651261,18.53508261193765,67.03,2.66,143.74619162144,11.915200423491001,76.782205814684,193.15609774895,54.589897238157995,37.847119927282,118.82092137286999,55.29,49.574696986663,53.631344804959994,74.91642781416701,190.55,51.32,48.110292515031006,236.15993489806,270.5430263794,27.193800493281998,59.759100184623,549.88,540.77,42.49145312032,289.97,36.663155561118,38.779600384995,50.504000016725996,82.51256805213801,49.03757979997,90.72693428277,48.253138410967,109.23451606976,75.623773299677,50.178653850249994,138.09567828582,47.025496382155,86.07904469128401,43.157852414586,0.0,75.81,114.37719409882,79.360872084937,24.774318378407997,69.66273236369216,0.008268604359808467,0.0007516913054440792,0.012277624655467714,0.03865210370976314,0.054979162171948634,0.07256214820815425,0.061258800042023824
2014-10-28,139.99140045428,39.671573054958,54.712910780338,24.93,74.753967047909,18.769333261061664,68.37,2.72,145.05966921344,12.075016822614,74.89125732594201,196.65768799323,55.323957132935,38.316791539642,119.90237199914,57.15,50.502667964607,55.016481253134,74.852777493169,192.2,52.21,49.138081063163995,236.75422236582,277.89463135902,27.386791650439,59.853760568251,558.94,548.9,42.393341032931,295.59,37.054418923885,39.10025355781,50.352737155506,83.826978116918,50.080125949564,90.962833747884,48.840114220948,110.8937745417,75.814141514402,50.472210717549,146.47273731273995,47.861591624839,88.057537226647,43.50037505279701,0.0,77.12,114.05404098271002,80.332677138354,25.372219405836,71.75118388835314,-0.00745526838965415,0.003976143141147135,0.03013433049345657,0.04632749409250785,0.06376628566072275,0.05255563393830063,0.07472781178930178
2014-10-29,139.94506409772,39.895600761621,53.85984553757901,25.35,74.829219562868,18.583884830505152,67.93,2.77,144.31337512708,11.906321734651,77.334944603701,196.51802342508,55.658465439416,38.2046311546,119.09821640525,56.21,50.617468497961,54.257502377422,74.44359685818499,190.49,52.18,49.226177224433,236.50660258758,274.05039587102,27.337421819538,59.61710960918001,558.45,549.33,42.429018155618,294.12,36.823217845887,38.808750673432996,50.504000016725996,84.14129356719201,49.625196720649996,89.688976636269,48.64445561762101,114.08323804889,75.899807211029,49.777459464942,148.04751259143,47.822703474017,89.002925285417,43.796610848007,0.0,76.63,116.14503173406,79.716879876783,25.324001581043,72.84785934650847,0.011517275913856788,0.03787194439299858,0.05418673916580325,0.07175651815190645,0.06046166023227043,0.08280037922887232,0.08430636028484081
2014-10-30,140.95519667083,40.595687344944,54.93740163369601,31.35,75.835721950452,19.110948791034183,68.57,2.75,144.99001509871,12.43016437622,78.15920420135801,196.48809530334,55.788552003047,38.078450721429,123.47023474903999,59.83,49.880831742274,54.409298152565,75.007356844164,192.93,51.95,51.52646587978,240.8944250579,280.36167939126,28.020857365027,60.49745117692501,560.27,550.31,42.366583190915996,299.07,37.863622696881,39.255721762811,51.847570136974,84.52228199176601,50.165425179985,93.32182839902201,49.492309565370995,114.40587164066002,80.75419668652701,50.1297277057,150.56342575858,48.114364605186005,87.190119317054,43.509632421397,0.0,77.26,117.18102260632,80.188349655173,25.478740563398,72.29475346326494,0.026054590570716286,0.042183622828781325,0.05955334987593408,0.048387096774194754,0.07047146401984554,0.07196029776676094,0.08759305210919596
2014-10-31,142.50283098011005,40.68903222272,56.984758216318,32.79,76.306050168949,19.472085208433707,70.12,2.8,146.23383857598998,12.537090521391999,80.011364003152,199.31131478805,55.500503183578,38.751413031676,124.46849686558998,60.3,50.923603253572,55.386483455043,75.471094897146,191.36,52.62,51.966946686124004,240.42889987482002,280.73817668133,28.020857365027,61.387258783031996,567.87,559.08,43.115802767344,305.46,37.650206317190005,40.278513520899,51.909854844535,85.674771976103,50.771997485203,92.00079139438401,49.725236474094,116.30480078077,81.296746098494,51.029968765416,151.12251757351,49.174066715100004,89.45125364318397,45.935062994675,0.0,78.56,120.41255376748998,82.996727287819,25.797889714506002,73.62030032138307,0.015719467956469727,0.03264812575575046,0.021765417170500248,0.04328899637242842,0.044740024183811504,0.059975816203161766,0.05054413542927012
2014-11-03,142.06726922839,40.408997589391,56.79618589949799,32.52,76.1649517034,19.813700738406233,69.91,2.87,147.02988560144,12.581643081881001,79.759237537986,192.70717592275003,55.128827287488,39.610539795552,125.14324811103,59.72,52.071608587110994,55.718536713167,76.18943423411899,191.04,51.81,52.299754406472,245.14358045241002,279.25200316793,28.238108399354,61.264200284315,563.77,555.22,43.63312104630701,305.72,38.272670757956,40.911670323525,52.185687120877,86.531995931395,50.989984407391006,91.39688876369301,49.669334016,116.55368955156,82.714989298199,50.873405102857,150.54478936475002,48.999070036398,88.437641703885,46.02763668067799,0.0,78.05,120.05138263771002,84.135519592466,25.764040562115003,72.85739565484027,0.016666666666672807,0.005952380952384808,0.02714285714285455,0.028571428571442428,0.043571428571445595,0.03428571428572132,0.034047619047615066
2014-11-04,143.68904170816998,40.707701198275,56.266387485574,31.85,76.334269862059,19.472085208433707,71.07,2.83,147.70652557308,12.260864646364999,81.175024611609,191.49009897175,55.26820574852199,38.970408643126,123.55342325875,59.63,52.990012853942005,55.784947364792004,75.807532308133,191.3,52.23,51.996312073213,242.98433598621003,275.54647720785,27.98012279609,61.425122936483,564.19,554.11,44.079085079896004,302.81,37.703560412113,41.593531495584,51.723000721851996,87.03680559395502,50.610876716629,91.415760720902,48.961236213484,117.97327735533999,83.942864283178,50.217794765890005,149.47319671949,48.590744452762,86.858746183053,45.77768772847,0.0,77.45,120.54561681531,85.361168937297,25.362686326631998,70.76894413017925,-0.010538641686184855,0.010304449648703291,0.011709601873543815,0.026463700234202577,0.0173302107728345,0.017096018735352936,0.03325526932085239
2014-11-05,144.2821470722,40.754373637164,56.158631875962,31.71,77.58534292326,20.331004255221764,71.37,2.8,148.63193024017,12.43016437622,81.708369057152,190.77182404983998,55.556254567991,38.921913858851,123.83071829112,59.015,51.631539875921,57.634958374338,75.571116830142,189.89,51.84,51.927792836671,245.54967688872003,281.40200085065,28.554932824415,62.229736197325,555.95,545.92,44.373421342064,296.52,38.592795327493,41.155192170689,53.155548995758,88.027375497848,50.971029022853,92.14233107345301,49.259382656648,118.51714541003,83.5811646752,50.28629136826,148.10342177293,49.212954865922,89.002925285417,46.314615107288,0.0,77.06,120.73570688361,85.573486146638,25.396535479022003,72.05634575497028,0.02106508875738996,0.02248520710060157,0.037396449704154955,0.028165680473375837,0.02792899408283234,0.044260355029597506,0.041656804733741615
2014-11-06,144.61576883946998,40.782377100497,56.31128565624501,31.66,78.300241815376,20.086993162384246,72.1,2.76,144.84075628143998,11.63712879953,82.13504461358599,194.7323121609,55.314665235533,40.124584508863,124.79200773668998,59.63,52.999579565055,57.739317969749,74.989171038164,193.14,52.63,52.289965944108,247.99616029767998,282.35315189922,27.966544606444998,62.598911693476,551.69,542.04,44.203955009301005,296.64,37.72134511042,42.022129946592,51.963241736730005,87.227299806242,51.094239022349996,93.935167008317,48.728309304761,119.34677464601002,83.190909835012,51.049539223235996,149.41728753799,49.621280449559,91.137358119134,46.490505110693,0.0,78.405,121.46755364658001,86.06567604102,25.696342257335,71.94191005498884,0.0013908205841606596,0.015994436717682557,0.006954102920732619,0.006722299490031116,0.02271673620771384,0.020166898470117357,0.012749188688005742
